"Notes"	"State"	"State Code"	"Disease"	"Disease Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Count	Population	Rate
	"Alabama"	"01"	"Chlamydia"	"274"	"Unknown"	"U"	"2010"	"2010"	134	Not Applicable	Not Applicable
	"Alabama"	"01"	"Chlamydia"	"274"	"Unknown"	"U"	"2011"	"2011"	761	Not Applicable	Not Applicable
	"Alabama"	"01"	"Chlamydia"	"274"	"Unknown"	"U"	"2012"	"2012"	227	Not Applicable	Not Applicable
	"Alabama"	"01"	"Chlamydia"	"274"	"Unknown"	"U"	"2013"	"2013"	167	Not Applicable	Not Applicable
	"Alabama"	"01"	"Chlamydia"	"274"	"Unknown"	"U"	"2014"	"2014"	73	Not Applicable	Not Applicable
	"Alabama"	"01"	"Gonorrhea"	"280"	"Female"	"F"	"1984"	"1984"	11917	2055915	579.64
	"Alabama"	"01"	"Gonorrhea"	"280"	"Female"	"F"	"1985"	"1985"	12153	2067440	587.83
	"Alabama"	"01"	"Gonorrhea"	"280"	"Female"	"F"	"1986"	"1986"	11241	2077519	541.08
	"Alabama"	"01"	"Gonorrhea"	"280"	"Female"	"F"	"1987"	"1987"	9632	2090448	460.76
	"Alabama"	"01"	"Gonorrhea"	"280"	"Female"	"F"	"1988"	"1988"	8378	2095565	399.80
	"Alabama"	"01"	"Gonorrhea"	"280"	"Female"	"F"	"1989"	"1989"	9134	2098866	435.19
	"Alabama"	"01"	"Gonorrhea"	"280"	"Female"	"F"	"1990"	"1990"	10242	2109548	485.51
	"Alabama"	"01"	"Gonorrhea"	"280"	"Female"	"F"	"1991"	"1991"	9011	2134265	422.21
	"Alabama"	"01"	"Gonorrhea"	"280"	"Female"	"F"	"1992"	"1992"	7583	2160659	350.96
	"Alabama"	"01"	"Gonorrhea"	"280"	"Female"	"F"	"1993"	"1993"	6679	2190193	304.95
	"Alabama"	"01"	"Gonorrhea"	"280"	"Female"	"F"	"1994"	"1994"	6816	2212954	308.00
	"Alabama"	"01"	"Gonorrhea"	"280"	"Female"	"F"	"1995"	"1995"	6938	2230497	311.05
	"Alabama"	"01"	"Gonorrhea"	"280"	"Female"	"F"	"1996"	"1996"	6730	2247223	299.48
	"Alabama"	"01"	"Gonorrhea"	"280"	"Female"	"F"	"1997"	"1997"	5984	2264810	264.22
	"Alabama"	"01"	"Gonorrhea"	"280"	"Female"	"F"	"1998"	"1998"	6313	2281866	276.66
	"Alabama"	"01"	"Gonorrhea"	"280"	"Female"	"F"	"1999"	"1999"	5460	2293259	238.09
	"Alabama"	"01"	"Gonorrhea"	"280"	"Female"	"F"	"2000"	"2000"	5984	2303083	259.83
	"Alabama"	"01"	"Gonorrhea"	"280"	"Female"	"F"	"2001"	"2001"	5712	2309859	247.29
	"Alabama"	"01"	"Gonorrhea"	"280"	"Female"	"F"	"2002"	"2002"	4974	2317373	214.64
	"Alabama"	"01"	"Gonorrhea"	"280"	"Female"	"F"	"2003"	"2003"	4583	2321588	197.41
	"Alabama"	"01"	"Gonorrhea"	"280"	"Female"	"F"	"2004"	"2004"	3673	2333974	157.37
	"Alabama"	"01"	"Gonorrhea"	"280"	"Female"	"F"	"2005"	"2005"	4494	2346146	191.55
	"Alabama"	"01"	"Gonorrhea"	"280"	"Female"	"F"	"2006"	"2006"	5983	2369561	252.49
	"Alabama"	"01"	"Gonorrhea"	"280"	"Female"	"F"	"2007"	"2007"	6095	2385726	255.48
	"Alabama"	"01"	"Gonorrhea"	"280"	"Female"	"F"	"2008"	"2008"	5582	2403813	232.21
	"Alabama"	"01"	"Gonorrhea"	"280"	"Female"	"F"	"2009"	"2009"	4240	2427096	174.69
	"Alabama"	"01"	"Gonorrhea"	"280"	"Female"	"F"	"2010"	"2010"	4432	2459548	180.20
	"Alabama"	"01"	"Gonorrhea"	"280"	"Female"	"F"	"2011"	"2011"	5103	2473249	206.33
	"Alabama"	"01"	"Gonorrhea"	"280"	"Female"	"F"	"2012"	"2012"	5187	2483466	208.86
	"Alabama"	"01"	"Gonorrhea"	"280"	"Female"	"F"	"2013"	"2013"	4668	2488375	187.59
	"Alabama"	"01"	"Gonorrhea"	"280"	"Female"	"F"	"2014"	"2014"	4090	2488375	164.36
	"Alabama"	"01"	"Gonorrhea"	"280"	"Male"	"M"	"1984"	"1984"	11021	1896301	581.18
	"Alabama"	"01"	"Gonorrhea"	"280"	"Male"	"M"	"1985"	"1985"	11025	1906045	578.42
	"Alabama"	"01"	"Gonorrhea"	"280"	"Male"	"M"	"1986"	"1986"	9503	1914539	496.36
	"Alabama"	"01"	"Gonorrhea"	"280"	"Male"	"M"	"1987"	"1987"	8147	1925381	423.14
	"Alabama"	"01"	"Gonorrhea"	"280"	"Male"	"M"	"1988"	"1988"	7563	1928893	392.09
	"Alabama"	"01"	"Gonorrhea"	"280"	"Male"	"M"	"1989"	"1989"	9914	1931392	513.31
	"Alabama"	"01"	"Gonorrhea"	"280"	"Male"	"M"	"1990"	"1990"	11324	1940507	583.56
	"Alabama"	"01"	"Gonorrhea"	"280"	"Male"	"M"	"1991"	"1991"	11867	1964891	603.95
	"Alabama"	"01"	"Gonorrhea"	"280"	"Male"	"M"	"1992"	"1992"	10018	1993355	502.57
	"Alabama"	"01"	"Gonorrhea"	"280"	"Male"	"M"	"1993"	"1993"	9114	2024009	450.29
	"Alabama"	"01"	"Gonorrhea"	"280"	"Male"	"M"	"1994"	"1994"	8943	2047275	436.82
	"Alabama"	"01"	"Gonorrhea"	"280"	"Male"	"M"	"1995"	"1995"	7698	2066303	372.55
	"Alabama"	"01"	"Gonorrhea"	"280"	"Male"	"M"	"1996"	"1996"	6409	2083879	307.55
	"Alabama"	"01"	"Gonorrhea"	"280"	"Male"	"M"	"1997"	"1997"	6022	2103125	286.34
	"Alabama"	"01"	"Gonorrhea"	"280"	"Male"	"M"	"1998"	"1998"	6411	2122835	302.00
	"Alabama"	"01"	"Gonorrhea"	"280"	"Male"	"M"	"1999"	"1999"	5399	2136882	252.66
	"Alabama"	"01"	"Gonorrhea"	"280"	"Male"	"M"	"2000"	"2000"	6039	2148892	281.03
	"Alabama"	"01"	"Gonorrhea"	"280"	"Male"	"M"	"2001"	"2001"	5457	2159053	252.75
	"Alabama"	"01"	"Gonorrhea"	"280"	"Male"	"M"	"2002"	"2002"	5131	2169135	236.55
	"Alabama"	"01"	"Gonorrhea"	"280"	"Male"	"M"	"2003"	"2003"	4705	2179164	215.91
	"Alabama"	"01"	"Gonorrhea"	"280"	"Male"	"M"	"2004"	"2004"	4526	2196208	206.08
	"Alabama"	"01"	"Gonorrhea"	"280"	"Male"	"M"	"2005"	"2005"	4892	2211662	221.19
	"Alabama"	"01"	"Gonorrhea"	"280"	"Male"	"M"	"2006"	"2006"	4678	2229469	209.83
	"Alabama"	"01"	"Gonorrhea"	"280"	"Male"	"M"	"2007"	"2007"	4786	2242125	213.46
	"Alabama"	"01"	"Gonorrhea"	"280"	"Male"	"M"	"2008"	"2008"	4151	2258087	183.83
	"Alabama"	"01"	"Gonorrhea"	"280"	"Male"	"M"	"2009"	"2009"	3250	2281612	142.44
	"Alabama"	"01"	"Gonorrhea"	"280"	"Male"	"M"	"2010"	"2010"	3430	2320188	147.83
	"Alabama"	"01"	"Gonorrhea"	"280"	"Male"	"M"	"2011"	"2011"	3825	2329491	164.20
	"Alabama"	"01"	"Gonorrhea"	"280"	"Male"	"M"	"2012"	"2012"	4034	2338557	172.50
	"Alabama"	"01"	"Gonorrhea"	"280"	"Male"	"M"	"2013"	"2013"	3680	2345347	156.91
	"Alabama"	"01"	"Gonorrhea"	"280"	"Male"	"M"	"2014"	"2014"	3563	2345347	151.92
	"Alabama"	"01"	"Gonorrhea"	"280"	"Unknown"	"U"	"1994"	"1994"	122	Not Applicable	Not Applicable
	"Alabama"	"01"	"Gonorrhea"	"280"	"Unknown"	"U"	"1995"	"1995"	47	Not Applicable	Not Applicable
	"Alabama"	"01"	"Gonorrhea"	"280"	"Unknown"	"U"	"1996"	"1996"	30	Not Applicable	Not Applicable
	"Alabama"	"01"	"Gonorrhea"	"280"	"Unknown"	"U"	"1997"	"1997"	25	Not Applicable	Not Applicable
	"Alabama"	"01"	"Gonorrhea"	"280"	"Unknown"	"U"	"1998"	"1998"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"Gonorrhea"	"280"	"Unknown"	"U"	"1999"	"1999"	29	Not Applicable	Not Applicable
	"Alabama"	"01"	"Gonorrhea"	"280"	"Unknown"	"U"	"2000"	"2000"	40	Not Applicable	Not Applicable
	"Alabama"	"01"	"Gonorrhea"	"280"	"Unknown"	"U"	"2001"	"2001"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"Gonorrhea"	"280"	"Unknown"	"U"	"2002"	"2002"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"Gonorrhea"	"280"	"Unknown"	"U"	"2003"	"2003"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"Gonorrhea"	"280"	"Unknown"	"U"	"2004"	"2004"	7	Not Applicable	Not Applicable
	"Alabama"	"01"	"Gonorrhea"	"280"	"Unknown"	"U"	"2005"	"2005"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"Gonorrhea"	"280"	"Unknown"	"U"	"2006"	"2006"	4	Not Applicable	Not Applicable
	"Alabama"	"01"	"Gonorrhea"	"280"	"Unknown"	"U"	"2007"	"2007"	4	Not Applicable	Not Applicable
	"Alabama"	"01"	"Gonorrhea"	"280"	"Unknown"	"U"	"2008"	"2008"	7	Not Applicable	Not Applicable
	"Alabama"	"01"	"Gonorrhea"	"280"	"Unknown"	"U"	"2009"	"2009"	8	Not Applicable	Not Applicable
	"Alabama"	"01"	"Gonorrhea"	"280"	"Unknown"	"U"	"2010"	"2010"	71	Not Applicable	Not Applicable
	"Alabama"	"01"	"Gonorrhea"	"280"	"Unknown"	"U"	"2011"	"2011"	204	Not Applicable	Not Applicable
	"Alabama"	"01"	"Gonorrhea"	"280"	"Unknown"	"U"	"2012"	"2012"	49	Not Applicable	Not Applicable
	"Alabama"	"01"	"Gonorrhea"	"280"	"Unknown"	"U"	"2013"	"2013"	29	Not Applicable	Not Applicable
	"Alabama"	"01"	"Gonorrhea"	"280"	"Unknown"	"U"	"2014"	"2014"	24	Not Applicable	Not Applicable
	"Alabama"	"01"	"Total Syphilis"	"320"	"Female"	"F"	"1984"	"1984"	509	2055915	24.76
	"Alabama"	"01"	"Total Syphilis"	"320"	"Female"	"F"	"1985"	"1985"	502	2067440	24.28
	"Alabama"	"01"	"Total Syphilis"	"320"	"Female"	"F"	"1986"	"1986"	471	2077519	22.67
	"Alabama"	"01"	"Total Syphilis"	"320"	"Female"	"F"	"1987"	"1987"	504	2090448	24.11
	"Alabama"	"01"	"Total Syphilis"	"320"	"Female"	"F"	"1988"	"1988"	647	2095565	30.87
	"Alabama"	"01"	"Total Syphilis"	"320"	"Female"	"F"	"1989"	"1989"	905	2098866	43.12
	"Alabama"	"01"	"Total Syphilis"	"320"	"Female"	"F"	"1990"	"1990"	1488	2109548	70.54
	"Alabama"	"01"	"Total Syphilis"	"320"	"Female"	"F"	"1991"	"1991"	1731	2134265	81.11
	"Alabama"	"01"	"Total Syphilis"	"320"	"Female"	"F"	"1992"	"1992"	1285	2160659	59.47
	"Alabama"	"01"	"Total Syphilis"	"320"	"Female"	"F"	"1993"	"1993"	1127	2190193	51.46
	"Alabama"	"01"	"Total Syphilis"	"320"	"Female"	"F"	"1994"	"1994"	923	2212954	41.71
	"Alabama"	"01"	"Total Syphilis"	"320"	"Female"	"F"	"1995"	"1995"	787	2230497	35.28
	"Alabama"	"01"	"Total Syphilis"	"320"	"Female"	"F"	"1996"	"1996"	853	2247223	37.96
	"Alabama"	"01"	"Total Syphilis"	"320"	"Female"	"F"	"1997"	"1997"	691	2264810	30.51
	"Alabama"	"01"	"Total Syphilis"	"320"	"Female"	"F"	"1998"	"1998"	537	2281866	23.53
	"Alabama"	"01"	"Total Syphilis"	"320"	"Female"	"F"	"1999"	"1999"	497	2293259	21.67
	"Alabama"	"01"	"Total Syphilis"	"320"	"Female"	"F"	"2000"	"2000"	364	2303083	15.80
	"Alabama"	"01"	"Total Syphilis"	"320"	"Female"	"F"	"2001"	"2001"	356	2309859	15.41
	"Alabama"	"01"	"Total Syphilis"	"320"	"Female"	"F"	"2002"	"2002"	318	2317373	13.72
	"Alabama"	"01"	"Total Syphilis"	"320"	"Female"	"F"	"2003"	"2003"	248	2321588	10.68
	"Alabama"	"01"	"Total Syphilis"	"320"	"Female"	"F"	"2004"	"2004"	277	2333974	11.87
	"Alabama"	"01"	"Total Syphilis"	"320"	"Female"	"F"	"2005"	"2005"	237	2346146	10.10
	"Alabama"	"01"	"Total Syphilis"	"320"	"Female"	"F"	"2006"	"2006"	388	2369561	16.37
	"Alabama"	"01"	"Total Syphilis"	"320"	"Female"	"F"	"2007"	"2007"	436	2385726	18.28
	"Alabama"	"01"	"Total Syphilis"	"320"	"Female"	"F"	"2008"	"2008"	503	2403813	20.93
	"Alabama"	"01"	"Total Syphilis"	"320"	"Female"	"F"	"2009"	"2009"	426	2427096	17.55
	"Alabama"	"01"	"Total Syphilis"	"320"	"Female"	"F"	"2010"	"2010"	285	2459548	11.59
	"Alabama"	"01"	"Total Syphilis"	"320"	"Female"	"F"	"2011"	"2011"	241	2473249	9.74
	"Alabama"	"01"	"Total Syphilis"	"320"	"Female"	"F"	"2012"	"2012"	212	2483466	8.54
	"Alabama"	"01"	"Total Syphilis"	"320"	"Female"	"F"	"2013"	"2013"	169	2488375	6.79
	"Alabama"	"01"	"Total Syphilis"	"320"	"Female"	"F"	"2014"	"2014"	106	2488375	4.26
	"Alabama"	"01"	"Total Syphilis"	"320"	"Male"	"M"	"1984"	"1984"	860	1896301	45.35
	"Alabama"	"01"	"Total Syphilis"	"320"	"Male"	"M"	"1985"	"1985"	869	1906045	45.59
	"Alabama"	"01"	"Total Syphilis"	"320"	"Male"	"M"	"1986"	"1986"	690	1914539	36.04
	"Alabama"	"01"	"Total Syphilis"	"320"	"Male"	"M"	"1987"	"1987"	673	1925381	34.95
	"Alabama"	"01"	"Total Syphilis"	"320"	"Male"	"M"	"1988"	"1988"	748	1928893	38.78
	"Alabama"	"01"	"Total Syphilis"	"320"	"Male"	"M"	"1989"	"1989"	1098	1931392	56.85
	"Alabama"	"01"	"Total Syphilis"	"320"	"Male"	"M"	"1990"	"1990"	1646	1940507	84.82
	"Alabama"	"01"	"Total Syphilis"	"320"	"Male"	"M"	"1991"	"1991"	1747	1964891	88.91
	"Alabama"	"01"	"Total Syphilis"	"320"	"Male"	"M"	"1992"	"1992"	1322	1993355	66.32
	"Alabama"	"01"	"Total Syphilis"	"320"	"Male"	"M"	"1993"	"1993"	1204	2024009	59.49
	"Alabama"	"01"	"Total Syphilis"	"320"	"Male"	"M"	"1994"	"1994"	1009	2047275	49.28
	"Alabama"	"01"	"Total Syphilis"	"320"	"Male"	"M"	"1995"	"1995"	851	2066303	41.18
	"Alabama"	"01"	"Total Syphilis"	"320"	"Male"	"M"	"1996"	"1996"	1035	2083879	49.67
	"Alabama"	"01"	"Total Syphilis"	"320"	"Male"	"M"	"1997"	"1997"	792	2103125	37.66
	"Alabama"	"01"	"Total Syphilis"	"320"	"Male"	"M"	"1998"	"1998"	602	2122835	28.36
	"Alabama"	"01"	"Total Syphilis"	"320"	"Male"	"M"	"1999"	"1999"	522	2136882	24.43
	"Alabama"	"01"	"Total Syphilis"	"320"	"Male"	"M"	"2000"	"2000"	388	2148892	18.06
	"Alabama"	"01"	"Total Syphilis"	"320"	"Male"	"M"	"2001"	"2001"	368	2159053	17.04
	"Alabama"	"01"	"Total Syphilis"	"320"	"Male"	"M"	"2002"	"2002"	381	2169135	17.56
	"Alabama"	"01"	"Total Syphilis"	"320"	"Male"	"M"	"2003"	"2003"	319	2179164	14.64
	"Alabama"	"01"	"Total Syphilis"	"320"	"Male"	"M"	"2004"	"2004"	360	2196208	16.39
	"Alabama"	"01"	"Total Syphilis"	"320"	"Male"	"M"	"2005"	"2005"	314	2211662	14.20
	"Alabama"	"01"	"Total Syphilis"	"320"	"Male"	"M"	"2006"	"2006"	541	2229469	24.27
	"Alabama"	"01"	"Total Syphilis"	"320"	"Male"	"M"	"2007"	"2007"	570	2242125	25.42
	"Alabama"	"01"	"Total Syphilis"	"320"	"Male"	"M"	"2008"	"2008"	683	2258087	30.25
	"Alabama"	"01"	"Total Syphilis"	"320"	"Male"	"M"	"2009"	"2009"	710	2281612	31.12
	"Alabama"	"01"	"Total Syphilis"	"320"	"Male"	"M"	"2010"	"2010"	496	2320188	21.38
	"Alabama"	"01"	"Total Syphilis"	"320"	"Male"	"M"	"2011"	"2011"	517	2329491	22.19
	"Alabama"	"01"	"Total Syphilis"	"320"	"Male"	"M"	"2012"	"2012"	493	2338557	21.08
	"Alabama"	"01"	"Total Syphilis"	"320"	"Male"	"M"	"2013"	"2013"	508	2345347	21.66
	"Alabama"	"01"	"Total Syphilis"	"320"	"Male"	"M"	"2014"	"2014"	366	2345347	15.61
	"Alabama"	"01"	"Total Syphilis"	"320"	"Unknown"	"U"	"1993"	"1993"	3	Not Applicable	Not Applicable
	"Alabama"	"01"	"Total Syphilis"	"320"	"Unknown"	"U"	"1994"	"1994"	1	Not Applicable	Not Applicable
	"Alabama"	"01"	"Total Syphilis"	"320"	"Unknown"	"U"	"1995"	"1995"	2	Not Applicable	Not Applicable
	"Alabama"	"01"	"Total Syphilis"	"320"	"Unknown"	"U"	"1996"	"1996"	1	Not Applicable	Not Applicable
	"Alabama"	"01"	"Total Syphilis"	"320"	"Unknown"	"U"	"1997"	"1997"	3	Not Applicable	Not Applicable
	"Alabama"	"01"	"Total Syphilis"	"320"	"Unknown"	"U"	"1999"	"1999"	1	Not Applicable	Not Applicable
	"Alabama"	"01"	"Total Syphilis"	"320"	"Unknown"	"U"	"2000"	"2000"	1	Not Applicable	Not Applicable
	"Alabama"	"01"	"Total Syphilis"	"320"	"Unknown"	"U"	"2002"	"2002"	1	Not Applicable	Not Applicable
	"Alabama"	"01"	"Total Syphilis"	"320"	"Unknown"	"U"	"2004"	"2004"	2	Not Applicable	Not Applicable
	"Alabama"	"01"	"Total Syphilis"	"320"	"Unknown"	"U"	"2006"	"2006"	2	Not Applicable	Not Applicable
	"Alabama"	"01"	"Total Syphilis"	"320"	"Unknown"	"U"	"2008"	"2008"	1	Not Applicable	Not Applicable
	"Alabama"	"01"	"Total Syphilis"	"320"	"Unknown"	"U"	"2009"	"2009"	2	Not Applicable	Not Applicable
	"Alabama"	"01"	"Total Syphilis"	"320"	"Unknown"	"U"	"2013"	"2013"	2	Not Applicable	Not Applicable
	"Alabama"	"01"	"Total Syphilis"	"320"	"Unknown"	"U"	"2014"	"2014"	3	Not Applicable	Not Applicable
	"Alabama"	"01"	"Primary and Secondary Syphilis"	"310"	"Female"	"F"	"1984"	"1984"	227	2055915	11.04
	"Alabama"	"01"	"Primary and Secondary Syphilis"	"310"	"Female"	"F"	"1985"	"1985"	206	2067440	9.96
	"Alabama"	"01"	"Primary and Secondary Syphilis"	"310"	"Female"	"F"	"1986"	"1986"	195	2077519	9.39
	"Alabama"	"01"	"Primary and Secondary Syphilis"	"310"	"Female"	"F"	"1987"	"1987"	190	2090448	9.09
